Geografija;4;Jurgis;Kurioje JAV valstijoje yra miestas Nešvilis?;Vašingtone;Tenesyje;Džordžijoje;Kolorade;Tenesyje
Sportas;8;Antanas;Su kokiu sportu asocijuojamas Sachin Tendulkar?;Boksu;Golfu;Futbolu;Kriketu;Kriketu
Geografija;10;Aloyzas;Kas yra Šveicarijos sostinė;Ciurichas;Ženeva;Bernas;Lozana;Bernas
Muzika;9;Martynas;Miuziklas „Hamilton“ žymiausiu visų laikų muzikinio teatro pasirodymų nuo debiuto 2015 metais, tačiau kuo vardu jį parašęs dramaturgas?;Lin-Manuel Miranda;Kenneth Lonergan;Lynn Nottage;Andrew Bovell;Lin-Manuel Miranda
Įžymybės;8;Antanas;Koks reperio P Diddy tikrasis vardas?;Sean Combs;Shawn Carter;Curtis Jackson;Earl Simmons;Sean Combs
Įžymybės;8;Martynas;Kuris britų aktorius vaidins „betmeną“ netrukus pasirodysiančiame filme kurį režisuoja Matt Reeves?;Robert Pattinson;Nicholas Hoult;Tom Hiddleston;James McAvoy;Robert Pattinson
Muzika;9;Aloyzas;Kuriais metais grupė „The Beatles“ pirmą kartą atvyko į JAV?;1972;1964;1969;1962;1964
Muzika;6;Jurgis;Kaip vadinama muzikos grupė kurioje yra šie nariai: John Deacon, Brian May, Freddie Mercury, Roger Taylor?;Iron Maiden;Van Halen;The Rolling Stones;Queen;Queen
Geografija;9;Jurgis;Kuris miestas yra Portugalijos sostinė?;Barselona;Porto;Lisabona;Sevilija;Lisabona
Įžymybės;8;Aloyzas;Kuris dailininkas nutapė „Vandens lelijas“ 1899?;Vincent Van Gogh;Henri Matisse;Claude Monet;Edward Hopper;Claude Monet
Sportas;5;Martynas;Kurį sportinį žaidimą išrado James Naismith 1891?;Tinklinį;Futbolą;Krepšinį;Vandensvydį;Krepšinį
Mokslas;10;Aloyzas;Suapvalinus iki 1 procento tikslumo, kokią procentinę dalį Saulės sistemos masės sudaro Saulė?;99;86;43;12;99
Geografija;1;Jurgis;Kurios šalies sostinė yra Beirutas?;Jordanijos;Libano;Irako;Irano;Libano
Įžymybės;8;Antanas;Kas režisavo filmą „Pulp Fiction“?;Steven Spielberg;Tim Burton;Quentin Tarantino;George Lucas;Quentin Tarantino
Geografija;6;Antanas;Kuris miestas yra Peru sostinė?;Santjagas;Buenos Airės;Lima;Rio De Žaneiras;Lima
Mokslas;10;Martynas;Kuris gyvūnas yra genetiškai artimiausias žmonėms?;Pelė;Arklys;Katė;Šimpanzė;Šimpanzė
Mokslas;4;Aloyzas;Koks yra aukso cheminis simbolis?;Ag;Ir;Fe;Au;Au
